"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"	"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"A2m"	13.3608774460126	14.8557398220373	11.8660150699878	0.798749521204288	-0.324184933624483	0.512871664846358	1	8.59426559805261	19.1686293807742	8.96117582018857	10.7399894809358	8.50610633450701	18.6070767888086	11.6257600062161	20.6840161586176
"A4galt"	136.014254263299	128.498525470146	143.529983056451	1.11697766594059	0.159600339304767	0.233317289970272	1	171.885311961052	128.855786392982	144.498960100541	128.879873771229	127.591595017605	138.519349427797	116.257600062161	131.625557373021
"Aaas"	534.675523108742	521.825340586111	547.525705631373	1.04925089497646	0.0693596937957081	0.390702625884979	1	543.348569476882	562.279795169378	541.030990143885	543.443467735349	507.814548170069	516.863244133572	516.377506942766	546.246063098037
"Aacs"	354.826407233248	345.048872153895	364.603942312601	1.056673334524	0.0795294434173639	0.419443029755965	1	340.905868722754	363.139034380223	375.249237470396	379.121628677032	346.198527814435	350.433279522562	351.679240188038	331.884441090545
"Aagab"	501.898388476965	480.563725508657	523.233051445273	1.08879015138201	0.122725922159729	0.159325700284506	1	550.987916675151	514.358221717442	567.91451760445	459.67154978405	495.055388668308	528.234235504511	450.498200240875	448.467077620935
"Aak1"	1517.67764635035	1532.99299882439	1502.36229387631	0.980019018370227	-0.0291183482695358	0.60339315424634	1	1494.44729566137	1385.46593468818	1535.72150618482	1593.81443897087	1555.76684858133	1402.76684457852	1633.41928087336	1540.01902126434
"Aamp"	1568.00671371001	1544.25066488657	1591.76276253345	1.03076708900129	0.0437183797445815	0.47390279801757	1	1602.35307483692	1568.63283766002	1560.36473969033	1635.70039794652	1616.16020355633	1560.92699728339	1520.06812081276	1479.84733789382
"Aard"	50.3309705467782	44.534300487681	56.1276406058754	1.2603238400792	0.333794481699283	0.136435314078981	1	65.88936958507	57.5058881423227	56.0073488761785	45.1079558199302	42.5305316725351	38.2478800658844	49.4094800264185	47.9493101858862
"Aars2"	303.497045331066	298.121148995507	308.872941666625	1.03606517923115	0.0511147663407136	0.600561368020722	1	316.077990328379	314.1525370738	301.319536953841	303.941702310482	282.402730305633	284.274784273465	306.145013497024	319.662067905908
"Aarsd1"	604.220203771921	597.849068092336	610.591339451505	1.02131352550206	0.0304258165119532	0.726130475806482	1	583.455142267794	609.136444766826	642.96436509853	606.80940567287	583.518894547181	574.751927476533	622.946973666414	610.178476679218
"Aasdh"	143.259570607422	139.918991969306	146.600149245538	1.04775018160292	0.0672947715259068	0.632891431076485	1	130.823820770356	143.764720355807	138.898225212923	172.913830643066	119.936099316549	138.519349427797	139.509120074593	161.711399058283
