"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"Abca7"	154.696780764947	161.868425882094	173.622781516153	165.395838006411	157.36296718838	141.620528892599	157.916573417769	165.472129268941
"Abca9"	33.4221439924268	105.427461594258	26.8835274605657	45.1079558199302	90.1647271457743	223.284921465703	57.1599866972293	22.5643812639464
"Abcb10"	389.606707111718	414.255379395621	443.578203099334	458.597550835957	430.408980526055	454.839654837544	417.558546889929	454.108172936922
"Abcb6"	281.700927936169	313.087613219313	296.838949043746	270.647734919581	296.863111074295	293.578322667869	289.675186821552	313.080790037257
"Abcb7"	788.762598221273	704.979591670697	681.049362334331	661.583352025643	688.144002461617	706.03519148646	781.832360418034	755.906772342205
"Abcb8"	405.84031990804	403.606140850746	411.093940751151	404.897603431278	387.027838220069	391.782339053248	382.681266871281	379.833751276432
"Abcc1"	378.147686314315	352.489795835348	397.652177020868	347.975659182318	397.235165821477	323.556390827616	374.93076020047	385.474846592418
"Abcc10"	117.454963173386	97.9729946128461	89.6117582018857	138.545864304071	91.8659484126757	106.473828291516	95.912520051283	110.941541214403
"Abcc3"	42.971327990263	52.1812688698854	33.6044093257071	33.2939673909008	48.48480610669	32.0455211362815	16.4698266754728	24.4447463692753
"Abcc4"	327.537011125783	323.736851764187	273.315862515751	253.463751750084	311.323491842957	262.566528019855	267.392480142971	270.772575167357
"Abcc5"	529.024793480127	611.266292475801	623.921866480629	619.697393049993	576.714009479575	625.404525401623	606.477146990941	703.256549392997
"Abcc8"	9.54918399783623	6.38954312692475	2.24029395504714	10.7399894809358	12.7591595017605	13.4384443474729	11.6257600062161	15.042920842631
"Abcc9"	536.664140678396	548.435785061041	277.796450425846	256.685748594365	556.299354276759	508.593432227435	349.741613520335	86.496794845128
"Abcd1"	175.704985560187	193.816141516717	171.382487561106	178.283825383534	183.731896825351	206.745297653429	197.637920105674	182.3954152169
"Abcd2"	167.110719962134	150.154263482732	157.940723830823	168.617834850691	164.167852255985	174.699776517147	149.197253413107	148.548843320981
"Abcd3"	1065.68893415852	1021.26197645347	1061.89933469235	1022.44699858508	1079.42489384894	1067.83946237996	988.18960052837	1057.70537174749
"Abcd4"	87.8524927800933	99.0379184673336	105.293815887216	112.769889549825	128.442205651056	98.2040163853788	119.164040063715	135.386287583679
"Abce1"	3919.94003111177	3882.71237346127	3806.25942962509	3899.69018052777	3787.76915075597	3648.02077709475	3929.50688210105	4208.25710572601
"Abcf1"	1912.7015547666	2086.18583094093	2111.47705263193	2036.30200558542	2061.8801754845	1842.10060209205	1982.19208105985	1949.93861422604
"Abcf2"	1641.50472922805	1692.16400478057	1674.61973139774	1658.25437585648	1618.71203545668	1645.69256932129	1626.63758753641	1666.00348332138
"Abcf3"	639.795327855028	579.318576841177	593.677898087493	645.473367804239	593.726222148589	617.134713495485	609.383586992495	601.716833705238
"Abcg1"	38.1967359913449	47.9215734519356	50.4066139885607	47.2559537161173	35.7256466049294	48.5851449485558	48.4406666925672	43.248397422564
"Abcg2"	738.151923032741	749.70639355917	673.208333491666	743.207272080754	730.674534134152	689.495567674186	743.07982706398	726.761113209608
"Abcg4"	20.0532863954561	15.9738578173119	26.8835274605657	28.9979715985265	17.8628233024647	39.2816065541515	21.3138933447296	26.3251114746042
"Abcg5"	38.1967359913449	58.5708119968102	66.0886716738907	66.5879347818017	52.7378592739435	73.3945806669673	76.5362533742561	62.0520484758527
"Abhd10"	250.188620743309	226.828781005828	264.354686695563	247.019758061522	278.149677138379	256.364169090252	258.673160138309	281.114583246666
"Abhd11"	182.389414358672	209.789999334029	227.389836437285	222.31778225537	194.789835060211	206.745297653429	216.04537344885	213.421439454827
"Abhd12"	446.901811098736	453.657562011657	441.337909144287	431.747577133617	426.155927358801	507.559705739168	462.123960247091	445.646529962942
"Abhd13"	873.750335802015	850.874159735479	837.869939187631	847.385170045831	842.955137749645	866.262797167867	854.493360456885	796.334622106776
"Abhd14a"	156.606617564514	193.816141516717	159.060870808347	185.801818020189	138.649533252464	155.058973240072	173.41758675939	156.070303742296
"Abhd14b"	78.3033087822571	87.3237560679715	62.72823074132	90.2159116398603	68.0488506760561	70.2934012021658	79.4426933758102	79.915516976477
"Abhd15"	13.3688575969707	11.714162399362	12.3216167527593	12.8879873771229	11.0579382348591	14.47217083574	5.81288000310806	8.46164297397991
"Abhd16a"	311.303398329461	364.203958234711	351.726150942401	351.197656026599	369.165014917604	352.500732499096	352.648053521889	304.619147063277
"Abhd2"	306.528806330543	331.191318745599	358.447032807543	320.051686531885	295.161889807393	288.409690226533	291.612813489254	311.200424931928
"Abhd3"	23.8729599945906	12.7790862538495	11.2014697752357	13.9619863252165	17.012212669014	12.4047178592057	16.4698266754728	11.2821906319732
"Abhd4"	358.094399918859	416.385227104596	472.702024514947	418.859589756494	490.802335501055	431.063945607399	538.660213621347	424.962513804324
"Abhd5"	293.159948733572	264.101115912889	244.192041100138	256.685748594365	288.357004739788	298.746955109205	243.172146796687	278.294035588673
"Abhd6"	135.598412769275	124.596090975033	117.615432639975	133.175869563603	131.844648184859	120.945999127256	128.852173402229	126.924644609699
"Abhd8"	341.860787122537	353.554719689836	368.528355605255	361.937645507535	365.762572383801	374.208988752706	372.024320198916	351.628274696499
"Abi1"	958.738073382758	867.912941407278	806.505823816971	873.161144800077	935.671696795771	920.016574557759	966.875707183641	856.5063054773
"Abi2"	1447.65629407197	1392.92040166959	1504.35739081416	1487.4885431096	1418.81853659577	1336.60834932942	1421.24916075992	1526.85646552704
"Abi3"	42.0164095904794	48.986497306423	34.7245563032307	41.8859589756494	53.5884699073942	44.4502389954872	43.5966000233105	52.6502229492083
"Abi3bp"	72.5737983835554	108.622233157721	82.8908763367442	104.177897965077	128.442205651056	186.070767888086	68.7857467034454	71.453874002497
"Abl1"	2838.01748415693	2858.25562544434	2924.70375831404	3010.41905150629	2790.85348835175	2876.86081684746	3018.82234828079	2902.34354007511
"Abl2"	1201.2873469278	1309.85634101957	1385.62181119666	1332.83269458413	1368.63250922218	1390.36212671931	1390.24713407668	1368.90579667942
"Ablim1"	716.188799837718	794.433195447643	754.979062850887	865.643152163422	795.320942276406	830.082370078517	732.422880391616	716.419105130299
"Ablim3"	19.0983679956725	67.0902028327098	15.68205768533	22.5539779099651	34.024425338028	85.799298526173	24.2203333462836	13.1625557373021
"Abr"	2054.02947793457	2198.00283566211	2180.92616523839	2030.93201084495	1891.75804879436	1810.05508095577	1964.75344105052	2013.87102780722
"Abt1"	269.286988738982	299.243603110976	322.602329526788	297.49770862192	248.378304967605	312.185399456678	293.550440156957	273.59312282535
"Abtb1"	151.832025565596	144.829644210294	136.657931257876	119.213883238387	135.247090718661	137.48562293953	154.041320082364	134.446105031014
"Abtb2"	156.606617564514	161.868425882094	154.580282898253	173.987829591159	145.45441832007	170.564870564079	160.823013419323	155.130121189632
"Acaa2"	699.955187041396	670.902028327098	709.05303677242	646.547366752332	762.997738205279	680.192029279781	678.16933369594	578.212269888627
"Acaca"	1493.49237726159	1557.98359911515	1625.3332643867	1748.47028749634	1403.50754519366	1439.98099815613	1514.25524080965	1720.53407137592
"Acacb"	76.3934719826899	92.6483753404088	87.3714642468385	89.1419126917668	97.8202228468306	75.4620336435016	101.725400054391	85.5566122924636
"Acad10"	44.8811647898303	42.5969541794983	34.7245563032307	27.923972650433	53.5884699073942	38.2478800658844	35.8460933524997	46.0689450805573
"Acad11"	197.66810875521	209.789999334029	184.824251291389	215.873788566809	175.225790490844	202.61039170036	186.012160099458	184.275780322229
"Acad8"	423.028851104145	364.203958234711	366.288061650208	414.56359396412	376.820510618661	404.187056912454	371.055506865065	353.508639801827
"Acad9"	754.385535829062	793.368271593156	742.657446098127	791.537224744965	735.778197934857	777.362319176893	693.670347037562	746.504946815561
"Acadl"	623.561715058706	607.006597057851	548.87201898655	607.883404620964	679.63789612711	608.864901589348	620.04053366486	569.750626914647
"Acadm"	557.672345473636	483.475429937306	508.546727795701	534.851476150601	579.265841379927	566.482115570395	496.032426931888	541.545150334714
"Acads"	531.889548679478	555.890252042453	529.829520368649	553.109458268191	569.90912441197	544.773859316785	550.285973627563	482.313649516855
"Acadsb"	699.955187041396	702.849743961722	698.971713974708	718.505296274602	690.695834361969	717.406182857398	683.982213699048	677.871620471057
"Acadvl"	443.082137499601	424.904617940496	423.41555750391	441.41356766646	468.686459031336	474.480458114619	411.745666886821	440.94561719962
"Acap2"	1219.43079652369	1113.91035179388	1178.3946203548	1177.10284711056	1150.8761870588	1211.52744424909	1224.5800539881	1227.87841377975
"Acap3"	311.303398329461	338.645785727012	333.803799302024	353.345653922786	301.116164241548	326.657570292418	357.492120191146	355.389004907156
"Acat1"	1167.86520293537	1168.22146837274	1144.79021102909	1185.69483869531	1257.20251624014	1322.13617849368	1149.01261394769	1047.36336366818
"Acat2"	1205.10702052693	1284.29816851187	1375.54048839895	1300.61272614132	1180.64755922957	1271.48358056859	1228.4553073235	1271.12681120232
"Acbd3"	919.586418991629	848.744312026504	802.025235906877	811.943204758743	899.946050190842	836.28472900812	857.399800458439	900.694885452528
"Acbd4"	28.6475519935087	40.4671064705234	48.1663200335135	22.5539779099651	32.3232040711266	22.7419827418772	37.7837200202024	21.624198711282
"Acbd5"	484.143628690297	464.306800556532	437.977468211716	455.375553991676	488.250503600702	483.783996509024	474.718533587158	495.476205254157
"Acbd6"	462.180505495274	437.683704194345	474.942318469994	433.895575029804	415.097989123942	415.558048283392	450.498200240875	426.842878909653
"Accs"	67.7992063846373	95.8431469038712	92.9721991344564	85.919915847486	99.521444113732	78.563213108303	107.538280057499	94.0182552664435
"Acd"	290.295193534221	245.997410386603	283.397185313463	258.833746490552	212.652658362675	263.600254508122	221.858253451958	253.849289219397
